Hotel_Name,Location,Place,Population,Price,Discount,Rating,Air Conditioning,Minimum_Stay
Capital O 80951 Hotel Radisson Suite,"India, Mumbai", Mumbai,21297000,2819,65% off,104,YES,2
OYO SilverKey Hotel Manas Residency,"Chembur East, Mumbai", Mumbai,21297000,2702,65% off,410,YES,1
OYO Hotel Airport Metro Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai", Mumbai,21297000,2289,64% off,879,YES,1
Collection O Hotel Kiwi International Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai", Mumbai,21297000,2094,66% off,75,YES,4
OYO Druv's Taj Palace Near Chhatrapati Shivaji International Airport,"Near Asalpha Metro Station, Dhumai Estate, Mumbai", Mumbai,21297000,2656,65% off,686,YES,7
Collection O Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai", Mumbai,21297000,3127,65% off,588,YES,8
OYO Hotel Blue Executive Near Chhatrapati Shivaji International Airport,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai",Mumbai,21297000,2772,65% off,1875,YES,3
OYO Blue Pearl Residency Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",Mumbai,21297000,1921,65% off,995,YES,1
OYO Hotel Blue Sapphire Residency Near Chhatrapati Shivaji International Airport,"Near The Crescent Business Park, Sakinaka, Mumbai",Mumbai,21297000,2220,65% off,1144,YES,5
OYO Hotel Blue Sea Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",Mumbai,21297000,1921,65% off,2051,YES,2
Super OYO Hotel Divine Residency Near Phoenix Marketcity,"Near Chirag Nagar Police Station, LBS Marg, Mumbai",Mumbai,21297000,4069,65% off,644,YES,3
Capital O Hotel Adore Palace,"Sakinaka Jharimari Link Road, Mumbai", Mumbai,21297000,2092,66% off,34,YES,4
OYO Hotel Greenforest Near Airport Road Metro Station,"Near Axis Bank, Customs Colony, Mumbai",Mumbai,21297000,2247,67% off,664,YES,7
Capital O Hotel Pearl Near US Embassy,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai",Mumbai,21297000,2896,65% off,119,YES,8
OYO Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai",Mumbai,21297000,2535,67% off,477,YES,5
OYO Rana Residency Near Western Express Highway Metro Station,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",Mumbai,21297000,1916,67% off,589,YES,9
Flagship The Mumbai Inn Near Chhatrapati Shivaji International Airport,"The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai", Mumbai,21297000,1863,67% off,470,YES,5
OYO Royal Inn Near Versova Beach,"Near Jankidevi Public School Road, Varsova, Mumbai",Mumbai,21297000,2740,67% off,465,YES,7
Capital O Hotel Zaid International NEAR L&T Sakinaka & IIT POWAI,"Near Huntsman Building, Marol, Mumbai",Mumbai,21297000,3273,65% off,711,YES,4
OYO Flagship Om Residency Near Airport Road Metro Station,"Near Ganesh nagar, Marol, Mumbai",Mumbai,21297000,2530,67% off,16,YES,4
SPOT ON Yatra Inn Near Lalbagh Botanical Garden,"Lalbagh, Bangalore", Bangalore,13608000,1040,64% off,2617,NO,4
OYO Townhouse 180 Jayanagar ,"Near Sagar Hospital, Tilak Nagar, Bangalore",Bangalore,13608000,1828,67% off,3524,YES,9
Super OYO Townhouse OAK Spruce Hotels A2 Indiranagar,"India, Bangalore", Bangalore,13608000,1423,75% off,253,YES,3
Super OYO Collection O Sabharwal Residency Near Lalbagh Botanical Garden,"Opposite Shanthinagar, Bangalore", Bangalore,13608000,1410,65% off,429,YES,5
OYO Townhouse Chic 364 Richmond Road Near Cubbon Park,"Near Baldwin Women College, Richmond Town, Bengaluru",Bangalore,13608000,2082,65% off,1457,YES,1
OYO Hotel Townhall,"Near Dhanlakshmi Bank, JC Road, Bangalore",Bangalore,13608000,1070,65% off,1144,NO,6
Collection O Hotel Hemadri Residency,"Opp Saraswati Kalyana Mantapa, Bangalore",Bangalore,13608000,872,67% off,74,NO,1
Super OYO Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore",Bangalore,13608000,1365,66% off,2664,YES,9
OYO Sai Ram Residency,"Cubbonpet Main Road, Bangalore",Bangalore,13608000,1092,67% off,207,NO,6
Super OYO  Design Oyo Townhouse OAK Clove Boutique Hotel Rajaji Nagar,"4th Block, Rajaji Nagar, Bangalore",Bangalore,13608000,3053,65% off,1360,YES,10
SPOT ON Hotel Relax Inn Near Banashankari Metro Station,"Banashankari 3rd Stage, Bangalore",Bangalore,13608000,645,77% off,69,NO,9
Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity,"Near Rammamurthynagar Police Station, Bangalore",Bangalore,13608000,1274,67% off,2655,YES,9
OYO Sree Balaji Residency,"Agrahara Dasarahalli, Rajaji Nagar, Bangalore",Bangalore,13608000,907,67% off,360,NO,5
Super OYO Townhouse 238 Tierra Woods Near Halasuru Metro Station,"Halasuru, Bangalore",Bangalore,13608000,2276,65% off,1675,YES,9
Capital O Champion Lotus Near Mantri Square Mall,"Near IIFT, Vijayanagar, Bangalore",Bangalore,13608000,1339,65% off,1342,YES,5
Capital O Premium Hotel Victoria Heights Near Sri Someshwara Swami Temple,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",Bangalore,13608000,1508,67% off,957,YES,4
Townhouse OAK SRK White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Koramangala, Bangalore",Bangalore,13608000,1427,65% off,1603,YES,5
OYO Hotel Silver House Near Mantri Square Mall,"Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore",Bangalore,13608000,844,65% off,494,NO,10
Varcity Emerald Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near KEB Colony, BTM Layout 1, Bangalore",Bangalore,13608000,879,65% off,1965,NO,4
